date,event_type,source_note
2008-06-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-06-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-06-25,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2008-07-03,nfp,US Non-Farm Payrolls -- shifted from the standard first-Friday date (2008-07-04) because that date is Independence Day; verified against bls.gov/news.release/archives/empsit_07032008.pdf
2008-07-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-08-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-08-05,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2008-08-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-09-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-09-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-09-16,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2008-10-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-10-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-10-29,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2008-11-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-11-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-12-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2008-12-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2008-12-16,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2009-01-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-01-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-01-28,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2009-02-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-02-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-03-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-03-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-03-18,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2009-04-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-04-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-04-29,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2009-05-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-05-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-06-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-06-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-06-24,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2009-07-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-07-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-08-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-08-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-08-12,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2009-09-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-09-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-09-23,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2009-10-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-10-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-11-04,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2009-11-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-11-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-12-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2009-12-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2009-12-16,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2010-01-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-01-08,nfp,US Non-Farm Payrolls -- shifted from the standard first-Friday date (2010-01-01) because that date is New Year's Day; verified against bls.gov (Dec 2009 data released 2010-01-08)
2010-01-27,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2010-02-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-02-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-03-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-03-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-03-16,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2010-04-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-04-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-04-28,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2010-05-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-05-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-06-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-06-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-06-23,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2010-07-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-07-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-08-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-08-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-08-10,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2010-09-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-09-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-09-21,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2010-10-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-10-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-11-03,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2010-11-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-11-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-12-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2010-12-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2010-12-14,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2011-01-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-01-13,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-01-26,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2011-02-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-02-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-03-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-03-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-03-15,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2011-04-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-04-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-04-27,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2011-05-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-05-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-06-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-06-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-06-22,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2011-07-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-07-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-08-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-08-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-08-09,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2011-09-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-09-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-09-21,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2011-10-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-10-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-11-02,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2011-11-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-11-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-12-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2011-12-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2011-12-13,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2012-01-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-01-12,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-01-25,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2012-02-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-02-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-03-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-03-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-03-13,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2012-04-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-04-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-04-25,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2012-05-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-05-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-06-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-06-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-06-20,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2012-07-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
